TEMPRATURE,VOLTAGE,current,POWER ,Maintainance 
43.58,43.64,5.59,243.9476,0
44.59,44.54,5.71,254.3234,0
43.58,44.3,5.21,230.803,0
41.74,44.05,5.65,248.8825,0
43.58,39.53,7.5,296.475,0
45.1,44.59,5.72,255.0548,0
34.41,42.36,5.43,230.0148,0
43.58,43.56,5.58,243.0648,0
44.21,44.52,5.71,254.2092,0
43.58,44.3,5.21,230.803,0
55.08,46.54,5.97,277.8438,0
43.58,43.73,5.61,245.3253,0
38.78,43.34,5.56,240.9704,0
38.32,43.17,5.53,238.7301,0
38.78,43.34,5.56,240.9704,0
39.36,43.51,5.58,242.7858,0
37.98,43.17,5.53,238.7301,0
43.58,44.3,5.24,232.132,0
43.58,46.82,5.39,252.3598,0
28.18,40.92,5.25,214.83,0
37.98,43.17,5.53,238.7301,0
43.58,46.82,5.39,252.3598,0
43.58,43.66,5.6,244.496,0
43.58,46.59,5.97,278.1423,0
34.08,42.36,5.43,230.0148,0
55.23,46.52,5.96,277.2592,0
45.35,44.61,5.72,255.1692,0
49.49,45.44,5.83,264.9152,0
43.58,40.34,7.26,292.8684,0
43.58,43.46,5.57,242.0722,0
43.58,44.3,5.21,230.803,0
43.58,40.37,5.18,209.1166,1
25.54,40.36,5.17,208.6612,1
43.58,42.1,5.4,227.34,0
51.91,46.15,5.92,273.208,0
41.38,44,5.64,248.16,0
43.58,39.8,5.1,202.98,1
43.58,43.61,5.59,243.7799,0
42.59,44.12,5.66,249.7192,0
43.58,40.37,5.18,209.1166,1
47.45,45.44,5.83,264.9152,0
46.92,45.1,5.78,260.678,0
41.86,44,5.64,248.16,0
43.58,43.56,5.58,243.0648,0
41.86,44,5.64,248.16,0
43.58,46.82,5.39,252.3598,0
46.92,45.1,5.78,260.678,0
43.58,43.64,5.59,243.9476,0
43.58,43.66,5.6,244.496,0
43.58,42.52,5.45,231.734,0
43.58,40.44,6.9,279.036,0
32.25,41.88,5.37,224.8956,0
43.58,39.53,7.43,293.7079,0
43.58,40.76,5.23,213.1748,0
43.58,44.3,5.21,230.803,0
43.71,44.71,5.73,256.1883,0
49.49,45.44,5.83,264.9152,0
30.88,41.61,5.33,221.7813,0
55.08,46.54,5.97,277.8438,0
41.14,44.05,5.65,248.8825,0
43.58,40.98,5.25,215.145,0
43.58,40.37,5.18,209.1166,1
38.9,43.61,5.59,243.7799,0
43.58,43.61,5.59,243.7799,0
43.58,39.8,5.1,202.98,1
43.58,46.82,6,280.92,0
43.58,42.54,5.45,231.843,0
45.1,44.78,5.74,257.0372,0
55.08,46.54,5.97,277.8438,0
25.54,40.36,5.17,208.6612,1
39.25,43.56,5.58,243.0648,0
43.58,40.44,5.18,209.4792,1
43.58,43.29,5.55,240.2595,0
43.58,40.98,5.25,215.145,0
40.19,44,5.64,248.16,0
38.32,43.17,5.53,238.7301,0
43.58,44.3,6.64,294.152,0
46.39,45.13,5.79,261.3027,0
34.08,42.36,5.43,230.0148,0
34.41,42.36,5.43,230.0148,0
42.59,44.12,5.66,249.7192,0
34.08,42.36,5.43,230.0148,0
43.58,40.44,5.18,209.4792,1
43.58,43.46,5.57,242.0722,0
43.58,39.61,5.08,201.2188,1
43.58,40.44,5.18,209.4792,1
43.58,44.3,5.18,229.474,0
39.95,43.56,5.58,243.0648,0
159.49,51.7,6.63,342.771,0
43.58,40.98,6.82,279.4836,0
43.58,43.59,5.59,243.6681,0
43.58,44.3,5.01,221.943,0
40.54,44.17,5.66,250.0022,0
54.46,46.42,5.95,276.199,0
47.45,45.44,5.83,264.9152,0
43.58,44.3,5.01,221.943,0
30.88,41.61,5.33,221.7813,0
40.19,43.76,5.61,245.4936,0
48.12,45.15,5.79,261.4185,0
34.63,42.39,5.43,230.1777,0
43.58,40.37,5.18,209.1166,1
37.87,43.12,5.53,238.4536,0
55.08,46.54,5.97,277.8438,0
43.58,42.14,5.4,227.556,0
43.58,40.98,6.82,279.4836,0
43.58,39.53,6.7,264.851,0
43.58,39.61,5.08,201.2188,1
36.17,42.88,5.5,235.84,0
58.14,48.01,6.16,295.7416,0
43.58,43.54,5.58,242.9532,0
43.08,44.27,5.68,251.4536,0
46.39,44.98,5.77,259.5346,0
43.58,44.3,5.21,230.803,0
43.58,43.61,5.59,243.7799,0
43.58,40.44,5.18,209.4792,1
40.19,44,5.64,248.16,0
49.22,45.22,5.8,262.276,0
43.58,44.3,5.01,221.943,0
47.99,45.27,5.8,262.566,0
45.1,44.59,5.72,255.0548,0
43.58,44.3,5.21,230.803,0
28.18,40.92,5.25,214.83,0
43.58,44.3,5.21,230.803,0
43.58,46.59,5.97,278.1423,0
43.58,43.68,5.6,244.608,0
25.54,40.36,5.17,208.6612,1
40.19,44,5.64,248.16,0
43.58,43.66,5.6,244.496,0
43.58,43.61,5.59,243.7799,0
43.58,42.07,5.39,226.7573,0
46.92,45.05,5.78,260.389,0
43.58,39.53,6.7,264.851,0
43.83,44.86,5.75,257.945,0
43.58,43.68,5.6,244.608,0
39.25,43.56,5.58,243.0648,0
43.58,43.66,5.6,244.496,0
43.58,44.3,5.21,230.803,0
43.21,44.27,5.68,251.4536,0
39.95,43.76,5.61,245.4936,0
43.58,43.76,5.61,245.4936,0
43.58,46.82,6.39,299.1798,0
34.63,42.39,5.43,230.1777,0
43.58,46.59,5.97,278.1423,0
43.58,39.53,7.08,279.8724,0
43.58,43.66,5.6,244.496,0
44.59,44.54,5.71,254.3234,0
40.3,43.71,5.6,244.776,0
46.39,44.98,5.77,259.5346,0
38.9,43.61,5.59,243.7799,0
40.3,44.2,5.67,250.614,0
49.22,45.22,5.8,262.276,0
43.58,46.82,5.39,252.3598,0
43.58,40.44,6.9,279.036,0
39.25,43.73,5.61,245.3253,0
43.58,43.66,5.6,244.496,0
47.45,45.44,5.83,264.9152,0
43.58,43.3,5.55,240.315,0
43.58,39.75,5.1,202.725,1
43.58,43.56,5.58,243.0648,0
43.58,44.3,5.21,230.803,0
58.14,48.01,6.16,295.7416,0
43.58,40.46,5.19,209.9874,1
43.58,43.64,5.59,243.9476,0
42.96,44.25,5.67,250.8975,0
41.86,44,5.64,248.16,0
43.58,42.07,5.39,226.7573,0
43.83,44.86,5.75,257.945,0
40.19,43.76,5.61,245.4936,0
39.95,43.95,5.64,247.878,0
43.58,44.3,5.18,229.474,0
43.58,43.54,5.58,242.9532,0
58.14,48.01,6.16,295.7416,0
39.95,43.76,5.61,245.4936,0
37.64,43.15,5.53,238.6195,0
43.71,44.42,5.69,252.7498,0
36.85,42.76,5.48,234.3248,0
43.08,44.27,5.68,251.4536,0
43.58,39.61,5.08,201.2188,1
43.58,39.53,5.07,200.4171,1
43.58,40.98,6.82,279.4836,0
37.98,43.24,5.54,239.5496,0
43.58,42.14,5.4,227.556,0
43.58,43.59,5.59,243.6681,0
31.62,41.75,5.35,223.3625,0
43.58,43.64,5.59,243.9476,0
43.58,39.53,7.08,279.8724,0
43.58,46.59,5.97,278.1423,0
43.58,43.61,5.59,243.7799,0
40.19,43.76,5.61,245.4936,0
43.58,40.76,5.23,213.1748,0
43.58,39.8,5.1,202.98,1
41.86,44.12,5.66,249.7192,0
43.58,43.68,5.6,244.608,0
32.47,41.85,5.37,224.7345,0
43.58,43.59,5.59,243.6681,0
36.85,42.76,5.48,234.3248,0
43.58,40.49,5.19,210.1431,0
43.58,43.66,5.6,244.496,0
37.41,43.07,5.52,237.7464,0
43.58,39.53,7.08,279.8724,0
43.58,43.54,5.58,242.9532,0
32.47,41.85,5.37,224.7345,0
48.26,45.4,5.82,264.228,0
48.26,45.4,5.82,264.228,0
45.48,45.05,5.78,260.389,0
46.39,44.98,5.77,259.5346,0
43.58,43.81,5.62,246.2122,0
43.58,40.37,5.18,209.1166,1
36.28,42.76,5.48,234.3248,0
53.54,46.4,5.95,276.08,0
39.25,43.73,5.61,245.3253,0
43.58,43.61,5.59,243.7799,0
43.58,39.53,5.07,200.4171,1
43.58,42.17,5.41,228.1397,0
31.62,41.75,5.35,223.3625,0
43.58,43.81,5.62,246.2122,0
43.58,43.76,5.61,245.4936,0
43.58,39.53,7.08,279.8724,0
43.58,40.37,5.18,209.1166,1
43.58,43.59,5.59,243.6681,0
43.58,43.81,5.62,246.2122,0
43.58,43.46,5.57,242.0722,0
22.44,39.85,5.11,203.6335,1
43.58,46.82,5.39,252.3598,0
37.64,43.1,5.53,238.343,0
43.58,40.68,5.22,212.3496,0
43.58,43.83,5.62,246.3246,0
28.18,40.92,5.25,214.83,0
41.26,43.93,5.63,247.3259,0
43.58,43.61,5.59,243.7799,0
43.58,39.53,6.7,264.851,0
41.86,44,5.64,248.16,0
28.18,40.92,5.25,214.83,0
36.28,42.76,5.48,234.3248,0
43.58,44.3,5.68,251.624,0
41.38,44,5.64,248.16,0
43.58,43.3,5.55,240.315,0
43.58,43.68,5.6,244.608,0
41.86,44,5.64,248.16,0
43.58,44.3,5.21,230.803,0
32.25,41.88,5.37,224.8956,0
43.58,40.98,6.39,261.8622,0
43.58,42.52,5.38,228.7576,0
43.58,39.61,5.08,201.2188,1
43.58,40.76,5.23,213.1748,0
43.58,39.53,7.41,292.9173,0
43.58,40.98,6.82,279.4836,0
43.58,44.3,5.21,230.803,0
46.92,45.05,5.78,260.389,0
46.39,45.13,5.79,261.3027,0
38.78,43.34,5.56,240.9704,0
43.58,39.53,5.07,200.4171,1
43.58,43.61,5.59,243.7799,0
37.64,43.1,5.53,238.343,0
43.58,40.51,5.19,210.2469,0
43.58,42.1,5.4,227.34,0
43.58,43.56,5.58,243.0648,0
37.64,43.15,5.53,238.6195,0
43.58,43.66,5.6,244.496,0
37.64,43.15,5.53,238.6195,0
42.59,44.47,5.7,253.479,0
44.59,44.54,5.71,254.3234,0
43.58,40.37,5.18,209.1166,1
43.58,39.53,6.7,264.851,0
43.58,43.68,5.6,244.608,0
43.58,43.59,5.59,243.6681,0
